,0
0,"CRASH OCCURRED AS VEHICLE 1 BEGAN SLOWING AND SKIDDING FOR STOPPED TRAFFIC AND TRAVELLED OFF THE LEFT SIDE OF THE ROADWAY, COLLIDED WITH A GUARDRAIL AND RETURNED TO THE ROADWAY. VEHICLE 1 COLLIDED WITH VEHICLE 2, OVERTURNED AND COLLIDED WITH VEHICLE 3. VEHICLE 1 THEN TRAVELLED OFF THE RIGHT SIDE OF THE ROADWAY."
0,"CRASH OCCURRED AS VEHICLE 1 BEGAN SLOWING AND SKIDDING FOR STOPPED TRAFFIC AND TRAVELLED OFF THE LEFT SIDE OF THE ROADWAY, COLLIDED WITH A GUARDRAIL AND RETURNED TO THE ROADWAY. VEHICLE 1 COLLIDED WITH VEHICLE 2, OVERTURNED AND COLLIDED WITH VEHICLE 3. VEHICLE 1 THEN TRAVELLED OFF THE RIGHT SIDE OF THE ROADWAY."
0,OCCURRED AS VEHICLE 1 FAILED TO YIELD AT A STOP SIGN AND STRUCK VEHICLE 2.
0,"VEHICLE #1 TRAVELED OFF THE LEFT SIDE OF THE ROADWAY, STRUCK AN EMBANKMENT, OVERTURNED AND STRUCK A TREE."
0,"VEHICLE #1 TRAVELED OFF THE LEFT SIDE OF THE ROAD, OVERTURNED, AND STRUCK A FENCE."
0,"CRASH OCCURRED AS VEHICLE ONE TRAVELLED OFF THE LEFT SIDE OF THE ROADWAY, RETURNED TO THE ROADWAY, BEGAN TO SLIDE AND OVERTURNED."
0,"FATALITY CRASH - NEXT OF KIN NOTIFIED - THIS IS TROOP D'S 21ST FATALITY FOR 2023 - CRASH OCCURRED AS VEHICLE #1 TRAVELLED OFF OF THE RIGHT SIDE OF THE ROADWAY, TRAVELLED BACK ONTO THE ROADWAY, AND OVERTURNED OFF OF THE RIGHT SIDE OF THE ROADWAY. LAWRENCE COUNTY CORONER SCOTT LAKIN PRONOUNCED SUBJECT DECEASED AT 1851 AT THE SCENE. ASSISTED BY TPR. S.D. GOOSTREE #336"
0,"CRASH OCCURRED AS VEHICLE 1 TRAVELED OFF THE RIGHT SIDE OF THE ROADWAY, DRIVER OVERCORRECTED CAUSING THE VEHICLE TO RETURN TO THE ROADWAY AND OVERTURN OFF THE LEFT SIDE OF THE ROADWAY."
0,"CRASH OCCURRED AS VEHICLE 1 WAS TRAVELING SOUTH AND TRAVELLED OFF THE LEFT SIDE OF THE ROAD, RETURNED TO THE ROADWAY THEN TRAVELLED OFF THE RIGHT SIDE WHERE IT STRUCK A TREE."
0,"#1 TRAVELED OFF THE LEFT SIDE OF THE ROAD, STRIKING A MAILBOX AND TREE BEFORE OVERTURNING COMING TO REST ON ITS TOP"
0,CRASH OCCURRED AS VEHICLE #1 WAS STOPPED WAITING TO MAKE A LEFT TURN AND WAS STRUCK FROM BEHIND BY VEHICLE #2.
0,CRASH OCCURRED VEHICLE 1 STARTED TO SLOW FOR TRAFFIC AND VEHICLE 2 ATTEMPTED TO BRAKE AND STRUCK THE BACK OF VEHICLE 1
0,VEH # 1 FAILED TO SLOW FOR TRAFFIC CONGESTION AND STRUCK THE REAR OF STOPPED VEH # 2. VEH # 2 THEN STRUCK THE REAR OF STOPPED VEH # 3.
0,VEH # 1 FAILED TO SLOW FOR TRAFFIC CONGESTION AND STRUCK THE REAR OF STOPPED VEH # 2. VEH # 2 THEN STRUCK THE REAR OF STOPPED VEH # 3.
0,CRASH OCCURRED AS VEHICLE #2 CROSS THE CENTER LINE AND STRUCK VEHICLE #1 HEAD-ON.
0,CRASH OCCURRED AS VEHICLE #1 TRAVELLED OFF THE LEFT SIDE OF THE ROADWAY AND STRUCK THE CABLE BARRIER.
0,OCCURRED AS NBR 1 TRAVELED OFF THE LEFT SIDE OF THE ROAD AND STRUCK THE MEDIAN GUARD CABLE.
0,"OCCURRED AS VEH1 SLID ON ICE COVERED ROADWAY, CROSSED THE CENTER LINE, AND STRUCK VEH2 HEAD ON."
0,"CRASH OCCURRED AS VEHICLE #1 SLID ON THE ICY ROADWAY, CROSSED THE CENTER LINE AND STRUCK VEHICLE #2."
0,VEHICLE 1 TRAVELLED OFF THE ROADWAY AND STRUCK A TREE.
